"artifact_id","title","original_filename","published_filename","category","origin","status","size_bytes","sha256","github_pages_url"
"59","Stable A-Z Index Sorter - Offline iPad Safe","stable_az_index_sorter_offline_ipad_safe.html","59-stable-az-index-sorter-offline-ipad-safe.html","Sort & Clean","Saved HTML Collection","CANONICAL · COPIES PRESERVED","14585","d572ce77b24245f123653bb8022e3963020ee0cb945b2ac5517fe397c5e573a0","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/59-stable-az-index-sorter-offline-ipad-safe.html"
"60","Stable A-Z Index Sorter - Offline iPad Safe","stable_az_index_sorter_offline_ipad_safe(1).html","60-stable-az-index-sorter-offline-ipad-safe-copy-1.html","Sort & Clean","Saved HTML Collection","IDENTICAL COPY · PRESERVED","14585","d572ce77b24245f123653bb8022e3963020ee0cb945b2ac5517fe397c5e573a0","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/60-stable-az-index-sorter-offline-ipad-safe-copy-1.html"
"61","ALLITERATION ARCHIVE // THE GILDED CODEX","THE_GILDED_CODEX_2026-07-28_2.html","61-the-gilded-codex-2026-07-28-2.html","Alliteration","Saved HTML Collection","READY","3100425","9242ff0ed37d8664f531d096b552dbbaaf20f9ae4bb284001413f7a7b3cb3fb7","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/61-the-gilded-codex-2026-07-28-2.html"
"62","ALLITERATION ARCHIVE // THE GILDED CODEX · LIVING","THE_GILDED_CODEX_2026-07-28_v6_5.html","62-the-gilded-codex-2026-07-28-v6-5.html","Alliteration","Saved HTML Collection","READY","3139156","07689214eb092de22339a34f02678e3ac322fd3002f2756b355a62e4599383b8","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/62-the-gilded-codex-2026-07-28-v6-5.html"
"63","ULTRA INDEX BRIDGE — Gilded Edition · Sealed Database","ULTRA_INDEX_BRIDGE_DB_20260727.html","63-ultra-index-bridge-db-20260727.html","Hub & Archive","Saved HTML Collection","READY","6332415","3521f10832b5bd6a9e63c9913d6340218632e0d997367e242ce9e5486e49890b","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/63-ultra-index-bridge-db-20260727.html"
"64","Universal Beast — One-File Engine Map + A-Z Processor","UNIVERSAL_BEAST_ONE_FILE_ENGINE_MAP.html","64-universal-beast-one-file-engine-map.html","Sort & Clean","Saved HTML Collection","READY","16068","b031c697620df088bc038bbae63316b8698b0982bf457a4ee0e38120541d1319","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/64-universal-beast-one-file-engine-map.html"
"65","master_long_line_raw_input.csv - Google Drive","view.html","65-google-drive-master-long-line-view.html","Hub & Archive","Saved HTML Collection","READY","66757","2af57fe7548d1150e5fd4f5f7ab5d58a13b64d0747f7f93c5a11c32f68028af0","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/65-google-drive-master-long-line-view.html"
"66","WORD WEAVER — Linguistic Analysis Engine","word_weaver_depth_meter.html","66-word-weaver-depth-meter.html","Rhyme & Writing","Saved HTML Collection","READY","54584","efdcdb07e34b3d1ef05860727ad580571326bf0dba59f8d5ddeac75f358234a7","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/66-word-weaver-depth-meter.html"
"67","RHYMEWEAVER AUTOMATION HUB","automation-hub.html","67-automation-hub.html","Rhyme & Writing","GitHub-only Recovery","READY","9177","3d989cdc0f5bdbdbe7bb7aabe266f3df236bfd451789286f50f6bdd746a2c851","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/67-automation-hub.html"
"68","A-Z FOLDER AUTOMATOR","az-folder-automator.html","68-az-folder-automator.html","Sort & Clean","GitHub-only Recovery","READY","12313","5f225353d6cd0abadff706cef20d5ae136d1b5cd6862ab97fab516a655f63c8e","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/68-az-folder-automator.html"
"69","RhymeWeaver Image Forge","forge.html","69-forge.html","Image & Prompt","GitHub-only Recovery","READY","15854","2668836fb2f8df5f683d7e95a96078eb6929f6e746e33570704c34518aa3f27f","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/69-forge.html"
"70","Organize - AZ Clean","organize.html","70-organize.html","Sort & Clean","GitHub-only Recovery","READY","6947","133039e46baa76099f86db841fe03cbf0ad518528bfaec7085345ccbd29e1d18","https://vishnuhorus-commits.github.io/-rhymeweaver-writer-index/tool-vault/tools/70-organize.html"
